actor_1_name,actor_2_name,actor_3_name,director_name,genres,plot_keywords,movie_title,comb
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,avatar|future|marine|native|paraplegic,avatar,CCH Pounder Joel David Moore Wes Studi James Cameron Action|Adventure|Fantasy|Sci-Fi avatar|future|marine|native|paraplegic
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,goddess|marriage ceremony|marriage proposal|pirate|singapore,pirates of the caribbean: at world's end,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action|Adventure|Fantasy goddess|marriage ceremony|marriage proposal|pirate|singapore
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,bomb|espionage|sequel|spy|terrorist,spectre,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action|Adventure|Thriller bomb|espionage|sequel|spy|terrorist
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,the dark knight rises,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action|Thriller deception|imprisonment|lawlessness|police officer|terrorist plot
Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,,star wars: episode vii - the force awakens            ,Doug Walker Rob Walker unknown Doug Walker Documentary 
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,alien|american civil war|male nipple|mars|princess,john carter,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action|Adventure|Sci-Fi alien|american civil war|male nipple|mars|princess
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,sandman|spider man|symbiote|venom|villain,spider-man 3,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Romance sandman|spider man|symbiote|venom|villain
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,17th century|based on fairy tale|disney|flower|tower,tangled,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance 17th century|based on fairy tale|disney|flower|tower
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,avengers: age of ultron,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,blood|book|love|potion|professor,harry potter and the half-blood prince,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure|Family|Fantasy|Mystery blood|book|love|potion|professor
